Overs,Runs,Wickets,Economy,Innings,Opposition,Ground
10,40,2,4,1,Australia,Sydney
10,28,4,2.84,1,Zimbabwe,Harare
6,27,1,4.5,1,Zimbabwe,Harare
10,22,4,2.2,1,Zimbabwe,Harare
8,29,0,3.62,1,New Zealand,Dharamsala
10,35,3,3.5,1,New Zealand,Delhi
9,52,2,5.37,1,New Zealand,Mohali
5,16,1,3.2,2,New Zealand,Visakhapatnam
10,79,2,7.9,1,England,Pune
9,81,2,9,2,England,Cuttack
10,68,1,6.8,1,England,Eden Gardens
5,23,0,4.6,2,Pakistan,Birmingham
10,52,0,5.2,2,Sri Lanka,The Oval
8,28,2,3.5,1,South Africa,The Oval
10,39,2,3.9,1,Bangladesh,Birmingham
9,68,0,7.55,1,Pakistan,The Oval
6,22,2,3.47,1,Sri Lanka,Dambulla
10,43,4,4.3,1,Sri Lanka,Pallekele
10,27,5,2.7,1,Sri Lanka,Pallekele
7,32,2,4.57,2,Sri Lanka,Colombo (RPS)
10,45,2,4.5,1,Sri Lanka,Colombo (RPS)
4,20,1,5,2,Australia,Chennai
7,39,0,5.57,2,Australia,Eden Gardens
10,52,2,5.2,1,Australia,Indore
10,51,2,5.1,1,Australia,Nagpur
9,56,1,6.22,2,New Zealand,Wankhede
10,38,2,3.8,1,New Zealand,Pune
10,47,3,4.7,2,New Zealand,Kanpur
7,32,1,4.57,2,Sri Lanka,Dharamsala
10,43,2,4.3,2,Sri Lanka,Mohali
8,39,1,4.87,1,Sri Lanka,Visakhapatnam
10,56,1,5.6,1,South Africa,Durban
5,12,1,2.4,1,South Africa,Centurion
7,32,2,4.57,2,South Africa,Cape Town
5,21,1,4.2,2,South Africa,Johannesburg
7,22,1,3.14,2,South Africa,Gqeberha
8,24,2,3,1,South Africa,Centurion
7,23,2,3.2,1,Pakistan,Dubai (DSC)
9,37,3,4.03,1,Bangladesh,Dubai (DSC)
10,29,2,2.9,1,Pakistan,Dubai (DSC)
8,39,1,4.58,1,Bangladesh,Dubai (DSC)
10,35,4,3.5,1,West,Pune
8,25,0,3.12,2,West,Brabourne
6,11,2,1.83,1,West,Thiruvananthapuram
10,60,2,6,1,Australia,Hyderabad
10,29,2,2.9,2,Australia,Nagpur
10,53,0,5.3,1,Australia,Ranchi
9,63,3,7.13,2,Australia,Mohali
10,39,0,3.9,1,Australia,Delhi
10,35,2,3.5,1,South Africa,Southampton
10,61,3,6.1,2,Australia,The Oval
8,52,0,6.5,2,Pakistan,Manchester
10,39,2,3.9,2,Afghanistan,Southampton
6,9,2,1.5,2,West,Manchester
10,44,1,4.4,1,England,Birmingham
10,55,4,5.5,2,Bangladesh,Birmingham
10,37,3,3.7,1,Sri Lanka,Leeds
10,39,1,3.9,1,New Zealand,Manchester
7,50,0,7.14,2,Australia,Wankhede
9,32,1,3.49,2,Australia,Rajkot
10,38,0,3.8,1,Australia,Bengaluru
10,53,0,5.3,2,New Zealand,Hamilton
10,64,0,6.4,1,New Zealand,Auckland
10,50,0,5,2,New Zealand,Mount Maunganui
10,73,1,7.3,1,Australia,Sydney
10,79,1,7.9,1,Australia,Sydney
9,43,2,4.52,2,Australia,Canberra
10,48,2,4.8,1,South Africa,Paarl
10,37,1,3.7,2,South Africa,Paarl
10,52,2,5.2,1,South Africa,Cape Town
7,19,6,2.59,1,England,The Oval
10,49,2,4.9,1,England,Lord's
5,18,1,3.6,2,Pakistan,Colombo (RPS)
7,30,2,4.28,2,Sri Lanka,Colombo (RPS)
5,23,1,4.6,1,Sri Lanka,Colombo (RPS)
10,43,1,4.3,1,Australia,Mohali
10,81,3,8.1,1,Australia,Rajkot
10,35,2,3.5,1,Australia,Chennai
10,39,4,3.9,1,Afghanistan,Delhi
7,19,2,2.71,1,Pakistan,Ahmedabad
10,41,2,4.1,1,Bangladesh,Pune
10,45,1,4.5,1,New Zealand,Dharamsala
7,32,3,4.68,2,England,Lucknow
5,8,1,1.6,2,Sri Lanka,Wankhede
5,14,0,2.8,2,South Africa,Eden Gardens
9,33,2,3.66,2,Netherlands,Bengaluru