Overs,Madiens,Runs,Wickets,Economy,Position,Innings,Opposition,Ground
9,4,23,1,2.55,2,2,Pakistan,Delhi
4,1,24,1,6,2,2,England,Kochi
8,0,23,1,2.87,2,1,England,Ranchi
8,0,58,0,7.25,2,1,England,Mohali
9,1,46,1,5.11,2,2,England,Dharamsala
10,0,68,0,6.8,1,1,Sri Lanka,Kingston
10,1,45,1,4.5,2,1,Zimbabwe,Harare
10,0,52,1,5.2,2,2,Zimbabwe,Harare
9,0,25,2,2.77,2,1,Zimbabwe,Harare
8,1,34,1,4.25,2,1,Zimbabwe,Bulawayo
7,1,27,1,3.85,4,1,Zimbabwe,Bulawayo
8,1,42,3,5.25,2,1,Australia,Ranchi
8,1,66,1,8.25,2,1,Australia,Nagpur
8.1,0,52,3,6.36,2,2,Australia,Bengaluru
6,0,28,1,4.66,3,1,West Indies,Kochi
7,0,55,2,7.85,3,2,West Indies,Visakhapatnam
10,1,49,1,4.9,3,1,West Indies,Kanpur
10,1,68,3,6.8,3,1,South Africa,Johannesburg
8,0,48,3,6,2,1,South Africa,Durban
10,0,69,3,6.9,3,1,South Africa,Centurion
9,0,55,4,6.11,2,1,New Zealand,Napier
7,0,55,3,7.85,2,1,New Zealand,Hamilton
10,0,84,2,8.4,2,1,New Zealand,Auckland
8,0,61,1,7.62,2,2,New Zealand,Hamilton
10,3,61,1,6.1,1,1,New Zealand,Wellington
10,1,50,4,5,2,1,Bangladesh,Fatullah
10,0,81,3,8.1,2,2,Sri Lanka,Fatullah
10,0,49,0,4.9,2,2,Pakistan,Mirpur
7.2,0,50,2,6.81,2,1,Afghanistan,Mirpur
6,0,32,2,5.33,3,2,England,Cardiff
9,0,40,1,4.44,3,1,England,Nottingham
7.3,1,28,3,3.73,3,1,England,Birmingham
10,0,52,2,5.2,3,1,England,Leeds
9,1,66,4,7.33,3,1,West Indies,Kochi
9.3,0,36,4,3.78,3,2,West Indies,Delhi
9.1,0,72,2,7.85,3,2,West Indies,Dharamsala
8.1,0,44,1,5.38,3,2,Australia,Melbourne
4,0,23,0,5.75,4,2,England,Brisbane
9,0,31,1,3.44,3,2,England,Perth
9,1,35,4,3.88,2,2,Pakistan,Adelaide
8,1,30,2,3.75,2,2,South Africa,Melbourne
8,2,35,3,4.37,1,1,West Indies,Perth
9,0,41,3,4.55,2,1,Ireland,Hamilton
9,2,48,3,5.33,1,1,Zimbabwe,Auckland
8,1,37,2,4.62,2,2,Bangladesh,Melbourne
10,0,68,0,6.8,1,1,Australia,Sydney
10,2,33,0,3.3,1,1,West Indies,North Sound
10,0,48,4,4.8,1,1,West Indies,Kingston
10,1,62,0,6.2,1,1,Australia,Bengaluru
10,0,81,2,8.1,1,1,West Indies,Guwahati
10,0,59,1,5.9,1,2,West Indies,Visakhapatnam
10,0,46,0,4.6,3,1,Australia,Sydney
10,0,58,3,5.8,2,1,Australia,Adelaide
9.4,0,47,2,4.86,2,1,Australia,Melbourne
6,2,19,3,3.16,2,1,New Zealand,Napier
6,0,43,1,7.16,2,2,New Zealand,Mount Maunganui
9,0,41,3,4.55,2,1,New Zealand,Mount Maunganui
8,0,35,2,4.37,2,2,New Zealand,Wellington
10,2,44,2,4.4,1,1,Australia,Hyderabad
10,0,60,0,6,1,2,Australia,Nagpur
10,0,52,1,5.2,1,1,Australia,Ranchi
9,0,57,2,6.33,2,1,Australia,Delhi
9.5,1,40,4,4.06,1,2,Afghanistan,Southampton
6.2,0,16,4,2.52,1,2,West Indies,Manchester
10,1,69,5,6.9,1,1,England,Birmingham
9,0,68,1,7.55,3,2,Bangladesh,Birmingham
3,0,5,0,1.66,2,1,West Indies,Providence
8,0,39,2,4.87,2,2,West Indies,Port of Spain
7,1,50,2,7.14,2,1,West Indies,Port of Spain
9,1,57,1,6.33,2,2,West Indies,Chennai
7.3,0,39,3,5.2,3,2,West Indies,Visakhapatnam
10,2,66,1,6.6,2,1,West Indies,Cuttack
7.4,0,58,0,7.56,1,2,Australia,Wankhede
10,0,77,3,7.7,2,2,Australia,Rajkot
10,0,63,4,6.3,2,1,Australia,Bengaluru
9.1,0,63,1,6.87,2,2,New Zealand,Hamilton
10,0,59,3,5.9,1,1,Australia,Sydney
9,0,73,1,8.11,1,1,Australia,Sydney
7,0,31,3,4.42,1,1,England,The Oval
10,0,48,1,4.8,1,1,England,Lord's
7,0,38,0,5.42,1,1,England,Manchester
9,0,67,1,7.44,1,2,Sri Lanka,Guwahati
7,0,43,0,6.14,1,1,Sri Lanka,Eden Gardens
6,2,20,2,3.33,1,2,Sri Lanka,Thiruvananthapuram
10,1,69,1,6.9,1,2,New Zealand,Hyderabad
6,1,18,3,3,1,1,New Zealand,Raipur
6,2,17,3,2.83,1,1,Australia,Wankhede
3,0,29,0,9.66,1,2,Australia,Visakhapatnam
6,0,37,0,6.16,1,1,Australia,Chennai
7,0,29,1,4.14,1,1,Nepal,Pallekele
8,1,32,2,4,1,1,Bangladesh,Colombo (RPS)
10,1,51,5,5.1,1,1,Australia,Mohali
6,0,39,1,6.5,1,2,Australia,Indore
10,0,54,5,5.4,3,1,New Zealand,Dharamsala
7,2,22,4,3.14,3,2,England,Lucknow
5,1,18,5,3.6,3,2,Sri Lanka,Wankhede
4,0,18,2,4.5,4,2,South Africa,Eden Gardens
6,0,41,0,6.83,3,2,Netherlands,Bengaluru