Country,Name,Month,Avg_Max_Temp,Avg_Min_Temp,Avg_Rain
India,Chennai,Jan,25.20,21.20,1.40
India,Chennai,Feb,26.60,22.20,0.60
India,Chennai,Mar,28.70,24.20,0.20
India,Chennai,Apr,30.90,26.60,1.00
India,Chennai,May,32.90,28.00,1.80
India,Chennai,Jun,32.40,27.50,4.50
India,Chennai,Jul,30.90,26.40,6.70
India,Chennai,Aug,30.30,25.90,8.80
India,Chennai,Sep,29.80,25.60,7.40
India,Chennai,Oct,28.40,24.60,10.60
India,Chennai,Nov,26.50,23.10,11.50
India,Chennai,Dec,25.30,21.90,5.70
India,Bangalore,Jan,16.10,7.80,41.00
India,Bangalore,Feb,17.60,9.40,32.00
India,Bangalore,Mar,20.20,11.10,29.00
India,Bangalore,Apr,22.10,14.40,35.00
India,Bangalore,May,21.80,16.70,47.00
India,Bangalore,Jun,20.60,16.70,62.00
India,Bangalore,Jul,20.10,16.10,65.00
India,Bangalore,Aug,20.00,14.40,67.00
India,Bangalore,Sep,20.00,15.00,64.00
India,Bangalore,Oct,19.80,13.20,65.00
India,Bangalore,Nov,18.30,9.60,61.00
India,Bangalore,Dec,16.40,8.90,53.00
India,Ahmedabad,Jan,20.20,12.40,0.20
India,Ahmedabad,Feb,22.50,14.60,0.10
India,Ahmedabad,Mar,27.60,19.60,0.20
India,Ahmedabad,Apr,31.70,24.20,0.30
India,Ahmedabad,May,34.30,27.30,0.30
India,Ahmedabad,Jun,33.10,27.70,3.90
India,Ahmedabad,Jul,29.70,26.10,11.30
India,Ahmedabad,Aug,28.50,25.30,10.30
India,Ahmedabad,Sep,29.20,24.90,6.10
India,Ahmedabad,Oct,28.50,21.80,0.90
India,Ahmedabad,Nov,24.80,17.20,0.30
India,Ahmedabad,Dec,21.40,13.60,0.10
India,Pune,Jan,11.20,1.70,34.00
India,Pune,Feb,12.20,3.90,26.00
India,Pune,Mar,15.70,7.20,21.00
India,Pune,Apr,19.60,10.60,24.00
India,Pune,May,22.60,13.80,37.00
India,Pune,Jun,23.10,17.00,66.00
India,Pune,Jul,22.40,18.90,76.00
India,Pune,Aug,21.70,17.20,79.00
India,Pune,Sep,20.90,13.20,73.00
India,Pune,Oct,18.40,9.40,53.00
India,Pune,Nov,14.50,4.60,43.00
India,Pune,Dec,11.50,3.30,39.00
India,Mumbai,Jan,30.20,24.90,11.70
India,Mumbai,Feb,30.30,25.30,11.70
India,Mumbai,Mar,31.70,27.10,16.30
India,Mumbai,Apr,32.90,28.90,20.00
India,Mumbai,May,34.00,30.50,22.80
India,Mumbai,Jun,32.20,29.30,21.10
India,Mumbai,Jul,29.90,27.80,21.70
India,Mumbai,Aug,29.90,27.40,20.70
India,Mumbai,Sep,30.60,27.80,20.00
India,Mumbai,Oct,33.10,28.90,20.60
India,Mumbai,Nov,33.80,28.40,17.80
India,Mumbai,Dec,32.20,26.50,12.80
India,New Delhi,Jan,20.10,13.90,-0.60
India,New Delhi,Feb,24.20,17.60,1.60
India,New Delhi,Mar,29.90,22.90,4.40
India,New Delhi,Apr,36.50,29.10,10.70
India,New Delhi,May,39.90,32.70,15.10
India,New Delhi,Jun,39.00,33.30,17.60
India,New Delhi,Jul,35.60,31.50,20.30
India,New Delhi,Aug,34.20,30.40,20.70
India,New Delhi,Sep,34.10,29.60,16.10
India,New Delhi,Oct,33.00,26.20,9.40
India,New Delhi,Nov,28.40,20.50,3.90
India,New Delhi,Dec,22.80,15.60,0.00
India,Lucknow,Jan,22.10,15.00,-1.00
India,Lucknow,Feb,26.20,18.50,0.00
India,Lucknow,Mar,32.30,23.80,5.40
India,Lucknow,Apr,38.20,29.50,10.90
India,Lucknow,May,39.60,32.20,17.00
India,Lucknow,Jun,38.30,32.20,19.70
India,Lucknow,Jul,34.10,30.10,21.50
India,Lucknow,Aug,33.50,29.60,22.20
India,Lucknow,Sep,33.30,28.80,17.20
India,Lucknow,Oct,32.80,26.10,10.00
India,Lucknow,Nov,29.10,21.20,3.90
India,Lucknow,Dec,24.40,16.80,0.50
India,Kolkata,Jan,25.50,14.30,15.40
India,Kolkata,Feb,29.40,18.10,24.60
India,Kolkata,Mar,33.70,22.90,36.80
India,Kolkata,Apr,35.40,25.70,55.00
India,Kolkata,May,35.50,26.80,118.50
India,Kolkata,Jun,34.10,27.10,276.70
India,Kolkata,Jul,32.50,26.70,371.60
India,Kolkata,Aug,32.30,26.60,372.10
India,Kolkata,Sep,32.60,26.30,325.00
India,Kolkata,Oct,32.30,24.40,179.60
India,Kolkata,Nov,30.20,20.10,32.60
India,Kolkata,Dec,26.70,15.50,5.60
India,Dharamshala,Jan,6.00,-1.90,66.00
India,Dharamshala,Feb,7.30,-1.60,63.00
India,Dharamshala,Mar,10.90,2.40,54.00
India,Dharamshala,Apr,15.40,7.30,47.00
India,Dharamshala,May,19.10,8.40,45.00
India,Dharamshala,Jun,20.90,12.60,53.00
India,Dharamshala,Jul,20.00,14.30,80.00
India,Dharamshala,Aug,19.70,14.10,86.00
India,Dharamshala,Sep,18.00,11.20,78.00
India,Dharamshala,Oct,14.30,8.00,63.00
India,Dharamshala,Nov,10.30,4.80,62.00
India,Dharamshala,Dec,7.20,-1.00,65.00
India,Hyderabad,Jan,22.90,15.90,0.60
India,Hyderabad,Feb,25.30,18.30,0.60
India,Hyderabad,Mar,28.70,21.50,0.90
India,Hyderabad,Apr,31.40,24.50,2.00
India,Hyderabad,May,33.30,26.60,2.50
India,Hyderabad,Jun,29.90,24.40,6.80
India,Hyderabad,Jul,27.10,22.90,9.50
India,Hyderabad,Aug,26.60,22.50,11.30
India,Hyderabad,Sep,26.70,22.30,8.40
India,Hyderabad,Oct,26.10,20.90,5.60
India,Hyderabad,Nov,24.30,17.80,1.30
India,Hyderabad,Dec,22.20,15.30,0.30
India,Guwahati,Jan,23.20,11.60,17.30
India,Guwahati,Feb,25.40,13.80,20.10
India,Guwahati,Mar,28.20,16.00,30.70
India,Guwahati,Apr,30.40,18.20,49.00
India,Guwahati,May,32.20,20.40,68.60
India,Guwahati,Jun,33.00,21.60,233.20
India,Guwahati,Jul,32.60,22.40,328.80
India,Guwahati,Aug,32.20,22.00,285.80
India,Guwahati,Sep,31.80,21.60,249.60
India,Guwahati,Oct,29.80,20.40,164.30
India,Guwahati,Nov,27.60,18.20,43.90
India,Guwahati,Dec,25.40,13.80,19.80
India,Ranchi,Jan,23.40,11.40,15.80
India,Ranchi,Feb,26.20,13.60,19.50
India,Ranchi,Mar,29.40,15.80,29.60
India,Ranchi,Apr,32.60,18.00,46.50
India,Ranchi,May,35.00,20.20,66.80
India,Ranchi,Jun,35.80,21.60,188.00
India,Ranchi,Jul,35.20,22.40,314.20
India,Ranchi,Aug,34.60,22.00,309.40
India,Ranchi,Sep,33.80,21.60,258.80
India,Ranchi,Oct,31.80,20.40,163.30
India,Ranchi,Nov,28.80,18.00,43.20
India,Ranchi,Dec,26.00,13.60,19.00
India,Rajkot,Jan,26.80,15.80,14.50
India,Rajkot,Feb,29.60,17.40,10.90
India,Rajkot,Mar,33.40,19.00,4.60
India,Rajkot,Apr,37.20,22.20,0.80
India,Rajkot,May,40.60,25.60,0.10
India,Rajkot,Jun,39.20,26.80,62.20
India,Rajkot,Jul,37.00,26.00,322.60
India,Rajkot,Aug,36.20,25.40,270.30
India,Rajkot,Sep,35.00,24.60,223.40
India,Rajkot,Oct,33.80,23.80,113.90
India,Rajkot,Nov,31.60,22.00,24.80
India,Rajkot,Dec,28.80,17.40,10.40
Australia,,Jan,29.40,19.60,125.10
Australia,,Feb,29.00,19.40,117.70
Australia,,Mar,27.70,17.80,107.20
Australia,,Apr,25.30,15.50,96.70
Australia,,May,22.20,13.20,86.10
Australia,,Jun,19.00,10.60,72.10
Australia,,Jul,17.60,9.10,68.60
Australia,,Aug,18.60,10.10,76.20
Australia,,Sep,21.40,12.50,84.40
Australia,,Oct,23.80,14.90,98.40
Australia,,Nov,26.20,17.00,114.70
Australia,,Dec,28.10,18.60,124.80
Pakistan,,Jan,16.40,5.30,20.00
Pakistan,,Feb,19.50,7.60,25.80
Pakistan,,Mar,23.40,11.40,33.90
Pakistan,,Apr,28.10,15.80,23.40
Pakistan,,May,34.20,21.30,16.30
Pakistan,,Jun,38.00,25.30,15.70
Pakistan,,Jul,37.50,26.80,60.50
Pakistan,,Aug,36.80,26.50,55.60
Pakistan,,Sep,35.00,23.90,19.50
Pakistan,,Oct,30.20,18.70,7.20
Pakistan,,Nov,25.10,12.60,6.50
Pakistan,,Dec,18.80,6.60,14.70
England,,Jan,7.80,1.90,84.40
England,,Feb,8.30,1.80,60.90
England,,Mar,10.80,3.10,51.60
England,,Apr,13.90,4.70,53.20
England,,May,17.20,7.50,52.40
England,,Jun,20.00,10.30,52.50
England,,Jul,22.50,12.00,45.80
England,,Aug,21.50,11.60,52.80
England,,Sep,18.30,10.00,49.60
England,,Oct,15.80,8.80,65.10
England,,Nov,11.50,5.30,66.60
England,,Dec,8.80,3.10,57.10
Wales,,Jan,7.70,2.30,138.30
Wales,,Feb,8.10,2.10,104.50
Wales,,Mar,10.10,3.20,90.00
Wales,,Apr,12.80,4.60,78.50
Wales,,May,15.80,7.10,75.00
Wales,,Jun,18.40,9.90,73.50
Wales,,Jul,19.90,11.20,83.60
Wales,,Aug,19.40,11.00,104.80
Wales,,Sep,17.50,10.70,86.30
Wales,,Oct,15.30,8.00,129.10
Wales,,Nov,11.60,4.90,130.60
Wales,,Dec,9.10,2.90,139.60
Sri Lanka,,Jan,28.50,21.80,122.10
Sri Lanka,,Feb,29.60,22.60,89.40
Sri Lanka,,Mar,31.40,23.80,113.90
Sri Lanka,,Apr,32.60,25.00,118.90
Sri Lanka,,May,32.20,25.40,169.10
Sri Lanka,,Jun,31.00,25.20,249.60
Sri Lanka,,Jul,30.40,25.00,285.80
Sri Lanka,,Aug,30.20,24.80,270.30
Sri Lanka,,Sep,30.00,24.60,223.40
Sri Lanka,,Oct,29.60,24.20,164.30
Sri Lanka,,Nov,29.20,23.80,148.60
Sri Lanka,,Dec,28.80,23.40,121.90
United Arab Emirates,,Jan,25.30,16.40,10.00
United Arab Emirates,,Feb,28.00,18.60,25.80
United Arab Emirates,,Mar,30.70,21.30,33.90
United Arab Emirates,,Apr,34.20,24.80,23.40
United Arab Emirates,,May,39.20,28.30,7.20
United Arab Emirates,,Jun,41.10,31.40,0.10
United Arab Emirates,,Jul,41.70,32.40,0.00
United Arab Emirates,,Aug,41.40,32.10,0.00
United Arab Emirates,,Sep,40.30,29.40,1.30
United Arab Emirates,,Oct,36.90,27.00,4.60
United Arab Emirates,,Nov,31.80,23.60,12.70
United Arab Emirates,,Dec,27.80,19.00,14.70
South Africa,,Jan,26.50,15.90,125.10
South Africa,,Feb,26.40,15.80,117.70
South Africa,,Mar,25.90,15.50,107.20
South Africa,,Apr,23.60,13.20,96.70
South Africa,,May,22.20,11.40,86.10
South Africa,,Jun,19.00,9.60,72.10
South Africa,,Jul,17.60,7.10,68.60
South Africa,,Aug,18.60,8.10,76.20
South Africa,,Sep,21.40,10.50,84.40
South Africa,,Oct,23.80,12.90,98.40
South Africa,,Nov,26.20,15.00,114.70
South Africa,,Dec,28.10,16.60,124.80
New Zealand,,Jan,17.80,10.80,79.90
New Zealand,,Feb,17.90,11.30,78.40
New Zealand,,Mar,16.60,9.90,72.80
New Zealand,,Apr,14.40,8.40,64.40
New Zealand,,May,12.00,6.70,60.80
New Zealand,,Jun,10.20,4.90,66.80
New Zealand,,Jul,9.50,4.30,68.20
New Zealand,,Aug,9.90,5.00,64.80
New Zealand,,Sep,11.30,6.40,61.90
New Zealand,,Oct,12.90,8.00,68.70
New Zealand,,Nov,14.50,9.50,76.30
New Zealand,,Dec,16.40,11.00,79.60
Bangladesh,,Jan,25.90,13.80,17.30
Bangladesh,,Feb,28.20,16.00,20.10
Bangladesh,,Mar,30.40,18.20,30.70
Bangladesh,,Apr,32.60,20.40,49.00
Bangladesh,,May,34.20,22.40,68.60
Bangladesh,,Jun,33.00,23.60,233.20
Bangladesh,,Jul,32.60,24.40,328.80
Bangladesh,,Aug,32.20,24.00,285.80
Bangladesh,,Sep,31.80,23.60,249.60
Bangladesh,,Oct,29.80,22.20,164.30
Bangladesh,,Nov,27.60,18.20,43.90
Bangladesh,,Dec,25.40,13.80,19.80
India,Thiruvananthapuram,Jan,29.70,22.30,44.10
India,Thiruvananthapuram,Feb,31.30,23.50,43.70
India,Thiruvananthapuram,Mar,32.70,25.00,43.20
India,Thiruvananthapuram,Apr,33.60,26.10,79.90
India,Thiruvananthapuram,May,32.60,25.90,147.30
India,Thiruvananthapuram,Jun,30.50,25.00,207.40
India,Thiruvananthapuram,Jul,29.80,24.60,217.30
India,Thiruvananthapuram,Aug,29.60,24.40,244.00
India,Thiruvananthapuram,Sep,30.10,24.70,227.10
India,Thiruvananthapuram,Oct,30.90,24.70,181.50
India,Thiruvananthapuram,Nov,29.80,23.90,125.30
India,Thiruvananthapuram,Dec,29.40,22.80,52.20
India,Visakhapatnam,Jan,27.70,20.80,14.50
India,Visakhapatnam,Feb,29.60,22.00,10.90
India,Visakhapatnam,Mar,31.40,23.20,4.60
India,Visakhapatnam,Apr,33.20,24.40,0.80
India,Visakhapatnam,May,35.00,25.60,0.10
India,Visakhapatnam,Jun,34.20,26.20,62.20
India,Visakhapatnam,Jul,33.00,26.00,322.60
India,Visakhapatnam,Aug,32.60,25.40,270.30
India,Visakhapatnam,Sep,32.20,25.20,223.40
India,Visakhapatnam,Oct,31.80,24.20,164.30
India,Visakhapatnam,Nov,29.20,23.80,148.60
India,Visakhapatnam,Dec,27.80,23.40,121.90
India,Nagpur,Jan,28.40,16.40,13.80
India,Nagpur,Feb,30.70,18.60,20.10
India,Nagpur,Mar,32.90,21.30,30.70
India,Nagpur,Apr,35.60,24.00,49.00
India,Nagpur,May,37.20,26.40,68.60
India,Nagpur,Jun,36.00,27.60,233.20
India,Nagpur,Jul,35.60,28.20,328.80
India,Nagpur,Aug,35.20,28.00,285.80
India,Nagpur,Sep,34.80,27.60,249.60
India,Nagpur,Oct,32.60,26.20,164.30
India,Nagpur,Nov,29.60,23.60,43.90
India,Nagpur,Dec,27.40,17.40,19.80
India,Indore,Jan,25.80,15.40,17.30
India,Indore,Feb,28.00,16.60,19.50
India,Indore,Mar,30.20,18.20,29.60
India,Indore,Apr,32.40,19.80,46.50
India,Indore,May,34.60,21.00,66.80
India,Indore,Jun,34.20,22.20,188.00
India,Indore,Jul,33.60,23.20,314.20
India,Indore,Aug,33.00,22.60,309.40
India,Indore,Sep,32.40,22.20,258.80
India,Indore,Oct,30.60,21.00,163.30
India,Indore,Nov,27.80,18.60,43.20
India,Indore,Dec,25.20,16.00,19.00
India,Jaipur,Jan,23.40,11.40,15.80
India,Jaipur,Feb,26.20,13.60,19.50
India,Jaipur,Mar,29.40,15.80,29.60
India,Jaipur,Apr,32.60,18.00,46.50
India,Jaipur,May,35.00,20.20,66.80
India,Jaipur,Jun,35.80,21.60,188.00
India,Jaipur,Jul,35.20,22.40,314.20
India,Jaipur,Aug,34.60,22.00,309.40
India,Jaipur,Sep,33.80,21.60,258.80
India,Jaipur,Oct,31.80,20.40,163.30
India,Jaipur,Nov,28.80,18.00,43.20
India,Jaipur,Dec,26.00,13.60,19.00
India,Cuttack,Jan,27.90,17.60,19.80
India,Cuttack,Feb,29.80,19.60,20.10
India,Cuttack,Mar,31.80,21.80,30.70
India,Cuttack,Apr,33.90,23.40,49.00
India,Cuttack,May,35.50,25.60,68.60
India,Cuttack,Jun,34.70,26.80,233.20
India,Cuttack,Jul,34.10,27.40,328.80
India,Cuttack,Aug,33.70,27.20,285.80
India,Cuttack,Sep,33.30,27.00,249.60
India,Cuttack,Oct,31.90,25.80,164.30
India,Cuttack,Nov,29.30,23.40,43.90
India,Cuttack,Dec,27.10,18.40,19.80
India,Mohali,Jan,19.00,6.10,15.80
India,Mohali,Feb,21.60,8.10,19.50
India,Mohali,Mar,24.40,11.10,29.60
India,Mohali,Apr,28.20,14.40,46.50
India,Mohali,May,32.00,17.60,66.80
India,Mohali,Jun,34.80,21.00,188.00
India,Mohali,Jul,34.20,21.60,314.20
India,Mohali,Aug,33.60,21.40,309.40
India,Mohali,Sep,32.80,20.60,258.80
India,Mohali,Oct,30.80,18.60,163.30
India,Mohali,Nov,27.20,13.40,43.20
India,Mohali,Dec,19.80,7.60,19.00